tbs,seg1 bits,seg1 count,seg2 bits,seg2 count,deviation percent
48,48,1,0,0,0
56,56,1,0,0,0
64,64,1,0,0,0
72,72,1,0,0,0
80,80,1,0,0,0
88,88,1,0,0,0
96,96,1,0,0,0
104,104,1,0,0,0
112,112,1,0,0,0
120,120,1,0,0,0
128,128,1,0,0,0
136,136,1,0,0,0
144,144,1,0,0,0
152,152,1,0,0,0
160,160,1,0,0,0
168,168,1,0,0,0
176,176,1,0,0,0
184,184,1,0,0,0
192,192,1,0,0,0
200,200,1,0,0,0
208,208,1,0,0,0
216,216,1,0,0,0
224,224,1,0,0,0
232,232,1,0,0,0
240,240,1,0,0,0
248,248,1,0,0,0
256,256,1,0,0,0
264,264,1,0,0,0
272,272,1,0,0,0
280,280,1,0,0,0
288,288,1,0,0,0
296,296,1,0,0,0
304,304,1,0,0,0
312,312,1,0,0,0
320,320,1,0,0,0
328,328,1,0,0,0
336,336,1,0,0,0
344,344,1,0,0,0
352,352,1,0,0,0
360,360,1,0,0,0
368,368,1,0,0,0
376,376,1,0,0,0
384,384,1,0,0,0
392,392,1,0,0,0
400,400,1,0,0,0
408,408,1,0,0,0
416,416,1,0,0,0
424,424,1,0,0,0
432,432,1,0,0,0
440,440,1,0,0,0
448,448,1,0,0,0
456,456,1,0,0,0
464,464,1,0,0,0
472,472,1,0,0,0
480,480,1,0,0,0
488,488,1,0,0,0
496,496,1,0,0,0
504,504,1,0,0,0
512,512,1,0,0,0
528,528,1,0,0,0
544,544,1,0,0,0
560,560,1,0,0,0
576,576,1,0,0,0
592,592,1,0,0,0
608,608,1,0,0,0
624,624,1,0,0,0
640,640,1,0,0,0
656,656,1,0,0,0
672,672,1,0,0,0
688,688,1,0,0,0
704,704,1,0,0,0
720,720,1,0,0,0
736,736,1,0,0,0
752,752,1,0,0,0
768,768,1,0,0,0
784,784,1,0,0,0
800,800,1,0,0,0
816,816,1,0,0,0
832,832,1,0,0,0
848,848,1,0,0,0
864,864,1,0,0,0
880,880,1,0,0,0
896,896,1,0,0,0
912,912,1,0,0,0
928,928,1,0,0,0
944,944,1,0,0,0
960,960,1,0,0,0
976,976,1,0,0,0
992,992,1,0,0,0
1008,1008,1,0,0,0
1024,1024,1,0,0,0
1056,1056,1,0,0,0
1088,1088,1,0,0,0
1120,1120,1,0,0,0
1152,1152,1,0,0,0
1184,1184,1,0,0,0
1216,1216,1,0,0,0
1248,1248,1,0,0,0
1280,1280,1,0,0,0
1312,1312,1,0,0,0
1344,1344,1,0,0,0
1376,1376,1,0,0,0
1408,1408,1,0,0,0
1440,1440,1,0,0,0
1472,1472,1,0,0,0
1504,1504,1,0,0,0
1536,1536,1,0,0,0
1568,1568,1,0,0,0
1600,1600,1,0,0,0
1632,1632,1,0,0,0
1664,1664,1,0,0,0
1696,1696,1,0,0,0
1728,1728,1,0,0,0
1760,1760,1,0,0,0
1792,1792,1,0,0,0
1824,1824,1,0,0,0
1856,1856,1,0,0,0
1888,1888,1,0,0,0
1920,1920,1,0,0,0
1952,1952,1,0,0,0
1984,1984,1,0,0,0
2016,2016,1,0,0,0
2048,2048,1,0,0,0
2112,1056,2,0,0,0
2176,1088,2,0,0,0
2240,1120,2,0,0,0
2304,1152,2,0,0,0
2368,1184,2,0,0,0
2432,1216,2,0,0,0
2496,1248,2,0,0,0
2560,1280,2,0,0,0
2624,1312,2,0,0,0
2688,1344,2,0,0,0
2752,1376,2,0,0,0
2816,1408,2,0,0,0
2880,1440,2,0,0,0
2944,1472,2,0,0,0
3008,1504,2,0,0,0
3072,1536,2,0,0,0
3136,1568,2,0,0,0
3200,1600,2,0,0,0
3264,1632,2,0,0,0
3328,1664,2,0,0,0
3392,1696,2,0,0,0
3456,1728,2,0,0,0
3520,1760,2,0,0,0
3584,1792,2,0,0,0
3648,1824,2,0,0,0
3712,1856,2,0,0,0
3776,1888,2,0,0,0
3840,1920,2,0,0,0
3904,1952,2,0,0,0
3968,1984,2,0,0,0
4032,2016,2,0,0,0
4096,2048,2,0,0,0
4160,1408,1,1376,2,2
4224,1408,3,0,0,0
4288,1440,2,1408,1,2
4352,1472,1,1440,2,2
4416,1472,3,0,0,0
4480,1504,2,1472,1,2
4544,1536,1,1504,2,2
4608,1536,3,0,0,0
4672,1568,2,1536,1,2
4736,1600,1,1568,2,2
4800,1600,3,0,0,0
4864,1632,2,1600,1,1
4928,1664,1,1632,2,1
4992,1664,3,0,0,0
5056,1696,2,1664,1,1
5120,1728,1,1696,2,1
5184,1728,3,0,0,0
5248,1760,2,1728,1,1
5312,1792,1,1760,2,1
5376,1792,3,0,0,0
5440,1824,2,1792,1,1
5504,1856,1,1824,2,1
5568,1856,3,0,0,0
5632,1888,2,1856,1,1
5696,1920,1,1888,2,1
5760,1920,3,0,0,0
5824,1952,2,1920,1,1
5888,1984,1,1952,2,1
5952,1984,3,0,0,0
6016,2016,2,1984,1,1
6080,2048,1,2016,2,1
6144,2048,3,0,0,0
6208,1568,2,1536,2,2
6272,1568,4,0,0,0
6336,1600,2,1568,2,2
6400,1600,4,0,0,0
6464,1632,2,1600,2,1
6528,1632,4,0,0,0
6592,1664,2,1632,2,1
6656,1664,4,0,0,0
6720,1696,2,1664,2,1
6784,1696,4,0,0,0
6848,1728,2,1696,2,1
6912,1728,4,0,0,0
6976,1760,2,1728,2,1
7040,1760,4,0,0,0
7104,1792,2,1760,2,1
7168,1792,4,0,0,0
7232,1824,2,1792,2,1
7296,1824,4,0,0,0
7360,1856,2,1824,2,1
7424,1856,4,0,0,0
7488,1888,2,1856,2,1
7552,1888,4,0,0,0
7616,1920,2,1888,2,1
7680,1920,4,0,0,0
